CASEID,PPETHM,PPEDUCAT,W1_C1,W1_F6,W1_A5A,W2_DURATION
1,4,2,1,7,1,23
2,2,1,2,3,,
3,2,4,3,7,2,19
4,2,4,2,5,2,8
5,1,4,3,7,2,
6,1,1,4,5,,11
7,2,4,2,7,2,26
8,1,2,3,4,,
9,1,4,3,6,2,15
10,1,3,1,7,1,12
11,3,2,-1,-1,,11
12,1,3,3,1,,54
13,1,4,1,9,1,19
14,4,4,1,6,,
15,1,4,2,9,2,11
16,4,2,2,7,2,12534
17,1,4,1,7,,
18,2,2,3,6,2,18
19,1,4,3,6,1,
20,2,4,2,7,2,19
21,5,3,2,8,2,
22,2,2,2,8,2,17
23,2,1,4,2,-1,12
24,1,2,2,8,1,
25,1,2,1,-1,1,10
26,1,3,3,3,,14
27,1,4,3,7,2,14
28,1,4,1,9,1,17
29,2,4,1,8,1,13
30,2,2,4,5,,
31,1,2,2,-1,3,1
32,1,4,1,8,1,22
33,2,4,3,7,2,30
34,1,2,3,8,1,14
35,2,3,3,5,2,16
36,1,4,3,8,1,
37,1,4,2,7,2,9
38,1,4,2,9,2,
39,2,4,3,7,2,16
40,2,4,2,10,2,20
41,1,3,2,7,,21
42,2,3,2,10,2,12
43,1,4,3,9,1,14
44,5,2,2,7,,40
45,1,4,3,5,2,12
46,1,4,1,7,1,125
47,1,4,2,2,2,15
48,2,3,4,7,,
49,2,2,2,6,2,14
50,1,3,1,5,1,27
51,2,4,3,7,2,
52,1,2,1,10,1,19
53,2,3,3,7,,
54,2,3,2,8,2,185
55,4,2,2,6,2,11
56,2,2,3,4,,17
57,2,3,2,7,,
58,3,1,3,10,,5
59,1,4,3,6,1,19
60,5,2,4,3,,422
61,1,2,2,7,2,15
62,1,3,1,10,,4447
63,2,4,2,5,2,708
64,1,3,1,5,1,7
65,2,2,2,5,2,16
66,2,4,2,7,2,18
67,4,2,1,6,,320
68,1,1,3,9,,14
69,2,2,2,2,2,20
70,1,3,3,10,2,17
71,1,2,4,6,,12
72,2,3,4,7,,
73,2,4,3,7,2,15
74,2,3,2,6,2,28
75,1,4,2,8,2,9
76,1,4,1,6,,10
77,2,4,1,6,2,11
78,2,4,2,6,2,11
79,2,1,1,7,2,20
80,1,2,1,6,1,18
81,1,3,3,6,1,17
82,2,4,2,10,2,12
83,2,4,3,9,2,13
84,1,3,2,3,,15
85,2,4,3,6,2,
86,2,1,3,5,2,
87,2,4,2,5,2,18
88,4,2,1,7,1,46
89,2,2,2,10,2,14
90,4,2,1,5,2,13
91,1,3,1,8,1,
92,1,3,3,5,1,17
93,1,4,3,10,1,16
94,2,2,2,8,2,
95,2,4,2,7,2,
96,2,3,2,6,2,
97,2,4,2,8,2,
98,4,1,2,8,,25
99,4,3,3,7,2,17
100,4,1,3,-1,,1
101,1,3,3,6,1,13
102,1,3,4,6,,15
103,2,2,3,6,2,15
104,2,4,-1,7,,51
105,2,3,2,4,2,27
106,2,4,2,10,2,8
107,2,4,2,6,2,15
108,2,2,2,8,2,45
109,2,3,2,6,2,19
110,1,1,1,7,,
111,1,4,1,9,1,15
112,3,4,3,5,,
113,2,4,2,8,2,13
114,2,4,2,8,2,10
115,2,2,2,3,2,12
116,2,3,2,6,2,528
117,1,4,3,9,1,9
118,2,2,2,6,2,9
119,1,3,2,7,,15
120,1,3,1,6,1,25
121,2,2,2,8,2,18
122,1,2,3,7,2,29
123,2,1,2,4,,
124,2,4,2,7,2,6
125,2,1,3,7,2,
126,2,3,2,5,2,
127,2,3,2,9,2,
128,1,3,1,9,1,17
129,2,2,2,5,2,
130,4,2,3,7,,18
131,2,2,2,4,2,
132,2,4,3,10,2,18
133,1,4,2,6,2,12
134,2,3,2,10,2,
135,2,2,2,6,,1987
136,2,3,3,5,2,
137,2,2,2,9,2,2578
138,1,3,2,5,2,145
139,2,3,2,3,,9
140,2,2,2,3,2,20
141,1,3,1,6,1,284
142,2,3,2,7,2,18
143,1,3,3,7,-1,
144,2,3,3,5,,163
145,1,4,3,1,2,13
146,2,3,3,10,2,
147,2,3,2,10,2,19
148,1,3,3,10,1,27
149,1,1,1,7,1,20
150,2,4,2,7,2,
151,2,3,3,9,2,
152,1,3,3,8,1,
153,1,3,1,9,1,
154,1,4,3,2,1,
155,3,4,3,6,2,21
156,1,2,2,5,2,
157,1,2,2,3,2,11
158,1,3,1,6,1,22
159,2,4,2,8,2,14
160,1,3,1,9,1,12
161,4,4,2,7,,
162,2,2,3,7,2,51
163,5,2,1,8,1,17
164,2,3,2,5,2,
165,1,3,2,8,2,
166,2,3,2,6,2,404
167,1,4,1,7,1,19
168,1,4,3,10,2,23
169,2,3,2,5,2,3109
170,1,2,1,8,1,
171,2,4,2,9,2,21
172,2,3,2,7,2,
173,1,4,2,7,2,10
174,2,3,-1,9,2,23
175,1,2,2,4,,14
176,2,2,3,5,2,18
177,2,1,2,8,2,
178,1,3,3,10,1,17
179,2,4,2,8,2,22
180,1,4,2,7,2,14
181,2,4,2,4,2,36
182,5,2,1,5,1,865
183,2,2,1,6,,7
184,2,3,3,5,2,10
185,1,4,1,10,1,
186,2,2,2,5,2,
187,2,1,1,7,,
188,1,4,2,1,,1423
189,1,3,1,10,1,10
190,1,3,3,5,1,18
191,2,1,2,-1,,60
192,2,2,4,5,,
193,1,4,2,5,2,15
194,1,3,2,6,,59
195,2,4,2,6,2,
196,2,2,3,7,,7
197,2,1,4,1,,20
198,2,3,2,9,2,12
199,1,3,3,6,1,10
200,2,4,2,7,2,14
201,1,3,1,9,1,43
202,1,4,2,9,2,19
203,2,2,2,3,,14
204,3,4,2,5,2,
205,1,4,1,7,1,9
206,1,4,2,8,,10
207,1,4,1,7,2,24
208,5,2,1,5,,8
209,1,2,1,8,1,14
210,2,2,2,6,2,4234
211,2,2,2,8,,19
212,1,2,2,6,3,12
213,2,2,3,5,2,95
214,2,3,4,7,3,
215,1,2,2,4,2,11
216,2,3,2,8,2,23
217,1,4,2,7,2,11
218,1,4,3,8,1,14
219,2,2,1,7,2,15
220,1,4,3,10,1,9
221,1,3,1,6,,3
222,1,3,3,10,2,
223,2,3,3,8,2,28
224,2,2,3,8,2,21
225,2,1,2,7,2,
226,1,3,3,5,1,6
227,1,1,2,6,,
228,4,1,3,10,1,8
229,1,4,3,10,2,20
230,2,2,2,4,2,12
231,1,2,1,4,1,25
232,1,4,2,8,2,8
233,2,2,2,-1,2,
234,2,3,2,6,2,5614
235,1,4,3,8,2,13
236,2,4,2,8,2,21
237,1,2,2,7,2,22
238,2,2,4,5,,
239,2,2,2,7,2,21
240,1,2,3,5,,5668
241,2,1,2,3,,13
242,2,4,3,8,2,25
243,2,4,4,8,2,36
244,2,3,3,7,2,1193
245,2,4,2,5,2,44
246,1,4,2,9,2,20
247,1,1,1,4,1,10
248,2,4,2,8,,
249,2,2,3,1,,
250,1,4,1,8,1,
251,1,4,3,7,1,14
252,1,4,2,9,2,25
253,2,3,2,1,2,
254,2,2,2,8,,7
255,2,2,3,10,,
256,1,2,2,3,1,9
257,2,4,4,7,2,18
258,2,2,2,5,,15
259,2,1,3,5,,
260,4,2,2,6,,
261,1,3,3,6,,
262,1,4,3,7,,
263,1,4,3,8,1,18
264,2,2,2,1,2,33
265,2,3,4,-1,,0
266,1,2,3,8,2,17
267,2,3,2,8,2,17
268,2,1,3,6,2,12
269,2,2,3,8,2,19
270,1,4,4,10,2,11
271,1,4,1,4,1,12
272,2,3,3,10,2,9
273,1,2,1,7,2,32
274,1,4,-1,5,2,7
275,1,2,3,9,,
276,2,2,2,6,2,24
277,1,3,3,10,,17
278,1,3,1,8,1,21
279,2,3,2,4,2,34
280,1,2,2,6,2,23
281,2,3,2,10,2,19
282,4,2,3,4,2,502
283,2,3,-1,-1,,3
284,2,4,2,6,2,96
285,4,2,2,10,2,15
286,2,4,2,8,2,15
287,1,4,1,8,1,11
288,2,4,2,9,2,12
289,2,2,2,7,2,
290,2,2,2,5,2,17
291,2,2,2,8,,
292,1,3,2,4,2,24
293,2,3,2,-1,2,38
294,2,3,2,5,2,6
295,1,2,2,7,,14
296,1,3,3,3,,12
297,2,3,2,9,2,11
298,2,1,2,8,2,20
299,2,4,3,6,2,
300,1,4,1,10,1,17
301,1,2,3,7,,18
302,2,4,2,5,2,12
303,2,4,3,8,2,
304,4,1,3,7,,
305,4,3,1,7,2,18
306,2,3,3,2,2,11
307,1,4,1,4,2,14
308,2,3,2,7,,22
309,1,3,1,8,1,13
310,2,3,2,5,2,4
311,1,3,2,10,2,14
312,2,2,2,4,,
313,2,3,2,6,2,72
314,2,2,3,4,2,598
315,2,4,-1,1,-1,
316,2,3,3,5,2,4989
317,2,2,2,4,,17
318,1,4,3,9,2,
319,2,4,2,10,,4380
320,1,3,1,7,1,
321,2,3,2,5,2,41
322,4,1,4,3,,15
323,2,2,2,7,2,19
324,2,2,3,6,,26
325,2,3,2,6,2,37
326,1,4,1,7,1,21
327,4,3,3,6,1,23
328,2,3,4,9,,36
329,2,3,2,7,2,14
330,2,4,2,6,2,3
331,1,2,3,7,2,11
332,2,2,2,6,2,
333,2,4,2,7,2,13
334,2,3,2,7,2,64
335,2,4,2,6,2,20
336,2,2,2,6,2,2812
337,1,3,2,7,,4113
338,1,2,1,3,1,8
339,1,3,3,7,,
340,1,2,1,7,1,16
341,2,1,1,4,,9
342,2,3,2,8,2,15
343,1,2,-1,8,,
344,1,3,3,8,2,
345,1,2,2,5,,19
346,2,2,3,6,2,
347,2,4,2,8,2,26
348,1,4,1,10,1,4375
349,1,4,3,7,1,36
350,1,4,1,7,1,9
351,1,4,1,6,-1,
352,2,2,2,5,,
353,2,4,2,9,2,6
354,2,1,3,6,,28
355,2,2,2,10,2,
356,2,3,2,6,,8
357,1,2,1,6,1,2340
358,1,3,1,3,1,16
359,2,4,2,8,2,12
360,2,3,2,1,2,11
361,2,2,2,10,,12
362,2,3,2,5,2,24
363,1,2,2,9,2,23
364,2,2,3,6,,15
365,5,2,-1,1,,48
366,2,2,2,10,2,12
367,1,2,3,3,2,10
368,4,2,2,7,2,36
369,1,4,3,6,1,10
370,1,2,3,7,2,44
371,2,2,2,6,2,19
372,1,4,4,10,,
373,1,1,1,5,1,16
374,5,4,3,8,2,18
375,2,2,2,5,2,
376,3,2,1,8,,21
377,3,4,3,7,,24
378,1,4,2,10,2,14
379,1,3,1,6,1,4
380,1,4,2,5,2,18
381,2,2,2,10,2,19
382,3,4,3,7,,31
383,2,4,2,7,2,12
384,2,2,2,5,2,13
385,2,4,3,8,2,19
386,1,2,3,5,,14
387,2,4,2,4,2,22
388,4,2,3,5,,16
389,2,4,1,8,2,39
390,1,2,2,5,2,12
391,2,2,2,5,2,12
392,1,2,2,6,2,12
393,2,1,2,5,,133
394,1,3,4,4,,25
395,1,2,4,5,1,10
396,2,3,2,9,,7
397,2,3,2,6,,9
398,1,4,3,7,2,7
399,2,3,2,5,2,12
400,2,4,2,1,2,29
401,1,3,1,8,1,11
402,1,2,3,9,2,
403,2,3,2,4,2,24
404,2,2,-1,3,,5
